,api_call_full,slices,metric,run_type,run_time_sec,slice-seconds,cpu_pct_mean,cpu_pct_p90,gpu_pct_mean,gpu_pct_p90,cpu_usage_mean,cpu_usage_p90,mem_process,mem_container_limit,mem_container_used,mem_container_avail,mem_system_total,mem_system_used,mem_system_avail,,
69,buildModel_cpu,3.5,mean,large,10141.7,35495.8,60.3,98.7,NA,NA,9.8,15.7,13.1,58.9,35.3,23.6,58.9,14.5,44.4,,
70,buildModel_cpu,7,mean,xl,8102.0,56714.0,48.7,92.0,NA,NA,15.7,29.4,15.8,122.8,36.6,86.3,122.8,17.9,105.0,,
71,buildModel_gpu,7,max,xl,9375.0,65625.0,41.0,58.0,1.0,0.0,13.2,18.6,17.6,115.1,39.3,80.8,115.1,20.3,96.7,0.412224371,
72,buildModel_gpu,7,mean,xl,6909.3,48365.3,39.0,57.0,0.7,0.0,12.4,18.2,16.5,115.1,37.4,77.7,115.1,19.3,95.8,,
73,buildOrthomosaic (dsm-mesh)_cpu,7,max,large,6131.0,875.9,44.0,91.0,NA,NA,6.9,14.5,11.0,58.9,54.7,12.6,58.9,12.5,52.0,,
74,buildOrthomosaic (dsm-mesh)_cpu,7,max,xl,5764.0,40348.0,29.0,65.0,NA,NA,9.1,20.5,16.4,122.8,89.5,54.1,122.8,18.5,114.3,,
75,buildOrthomosaic (dsm-mesh)_cpu,3.5,mean,large,4522.0,15827.0,43.0,89.0,NA,NA,6.8,14.1,7.5,58.9,51.8,7.0,58.9,9.0,49.9,,
76,buildOrthomosaic (dsm-mesh)_cpu,7,mean,xl,4117.7,28823.7,27.7,60.7,NA,NA,8.7,19.2,10.7,122.8,77.7,45.1,122.8,12.8,110.1,,
77,buildOrthomosaic (dsm-mesh)_gpu,7,max,xl,5388.0,37716.0,29.0,68.0,NA,NA,9.2,21.8,16.4,122.8,98.0,52.8,122.8,18.4,114.1,,
78,buildOrthomosaic (dsm-mesh)_gpu,7,mean,xl,3910.0,27370.0,28.3,61.7,NA,NA,9.0,19.6,10.7,122.8,85.6,37.2,122.8,12.7,110.2,,
79,buildOrthomosaic (dsm-ptcloud)_cpu,7,max,large,6650.0,950.0,39.0,86.0,NA,NA,6.1,13.6,11.3,58.9,51.9,12.9,58.9,12.7,50.2,,
80,buildOrthomosaic (dsm-ptcloud)_cpu,7,max,xl,6537.0,45759.0,26.0,57.0,NA,NA,8.3,18.2,16.3,122.8,96.5,67.9,122.8,18.4,111.5,0.808621121,
81,buildOrthomosaic (dsm-ptcloud)_cpu,3.5,mean,large,5636.7,19728.3,36.3,84.7,NA,NA,5.7,13.4,8.8,58.9,49.4,9.4,58.9,10.2,48.6,,
82,buildOrthomosaic (dsm-ptcloud)_cpu,7,mean,xl,5304.0,37128.0,23.7,55.0,NA,NA,7.5,17.4,12.0,122.8,72.4,50.4,122.8,14.0,108.9,,
83,buildOrthomosaic (dsm-ptcloud)_gpu,7,max,xl,6200.0,43400.0,26.0,60.0,NA,NA,8.4,19.0,16.0,122.8,67.8,66.4,122.8,17.9,111.4,,
84,buildOrthomosaic (dsm-ptcloud)_gpu,7,mean,xl,5110.0,35770.0,23.7,56.3,NA,NA,7.6,17.9,12.1,122.8,63.6,59.2,122.8,14.0,108.8,,1.019056349
85,buildPointCloud_cpu,7,max,large,5583.0,797.6,80.0,100.0,NA,NA,12.7,15.9,26.7,58.9,50.7,13.5,58.9,28.2,37.7,,
86,buildPointCloud_cpu,7,max,xl,4267.0,29869.0,64.0,80.0,NA,NA,20.5,25.6,27.9,122.8,66.3,73.6,122.8,29.9,99.7,,
87,buildPointCloud_cpu,3.5,mean,large,4908.3,17179.2,74.0,98.7,NA,NA,11.8,15.7,22.2,58.9,48.2,10.7,58.9,23.6,35.2,,
88,buildPointCloud_cpu,7,mean,xl,3398.3,23788.3,57.7,79.3,NA,NA,18.4,25.4,23.8,122.8,57.2,65.6,122.8,25.8,97.0,,
89,buildPointCloud_gpu,7,max,xl,4210.0,29470.0,68.0,84.0,NA,NA,21.6,26.8,27.9,122.8,65.5,73.9,122.8,29.9,99.6,1.236673114,
90,buildPointCloud_gpu,7,mean,xl,3239.0,22673.0,60.3,82.7,NA,NA,19.2,26.4,23.8,122.8,56.8,66.1,122.8,25.8,97.0,,
91,classifyGroundPoints_cpu,7,max,large,43243.0,6177.6,99.0,100.0,NA,NA,15.8,16.0,6.6,58.9,37.7,27.5,58.9,8.0,52.0,,
92,classifyGroundPoints_cpu,7,max,xl,21912.0,153384.0,97.0,100.0,NA,NA,30.9,32.0,7.1,122.8,45.0,91.3,122.8,9.0,115.5,,
93,classifyGroundPoints_cpu,3.5,mean,large,15396.0,53886.0,88.3,100.0,NA,NA,14.1,16.0,5.9,58.9,34.7,24.1,58.9,7.4,51.5,,
94,classifyGroundPoints_cpu,7,mean,xl,7867.7,55073.7,79.7,100.0,NA,NA,25.4,32.0,6.2,122.8,40.2,82.6,122.8,8.1,114.7,,
95,classifyGroundPoints_gpu,7,max,xl,21484.0,150388.0,98.0,100.0,NA,NA,31.1,32.0,6.9,122.8,45.0,91.4,122.8,8.8,115.2,,
96,classifyGroundPoints_gpu,7,mean,xl,7742.3,54196.3,81.0,100.0,NA,NA,25.9,32.0,6.1,122.8,40.1,82.7,122.8,8.1,114.7,,
97,exportCameras_1x1g,1,max,mig,0.0,0.0,8.0,8.0,NA,NA,2.4,2.4,1.6,122.8,2.7,121.3,122.8,3.5,119.5,,
98,exportCameras_1x1g,1,mean,mig,0.0,0.0,7.3,7.3,NA,NA,2.2,2.2,1.5,122.8,2.2,120.7,122.8,3.4,119.4,,3.214285714
99,exportCameras_1x2g,2,max,mig,0.0,0.0,7.0,7.0,NA,NA,2.3,2.3,1.5,122.8,2.5,121.4,122.8,3.4,119.6,,
100,exportCameras_1x2g,2,mean,mig,0.0,0.0,7.0,7.0,NA,NA,2.2,2.2,1.4,122.8,2.1,120.7,122.8,3.3,119.5,,
101,exportCameras_1x3g,3,max,mig,0.0,0.0,7.0,7.0,NA,NA,2.2,2.2,1.6,122.8,2.6,121.3,122.8,3.5,119.6,,
102,exportCameras_1x3g,3,mean,mig,0.0,0.0,7.0,7.0,NA,NA,2.2,2.2,1.5,122.8,2.2,120.7,122.8,3.4,119.4,,
103,exportCameras_2x1g,2,max,mig,0.0,0.0,8.0,8.0,NA,NA,2.4,2.4,1.6,122.8,2.6,120.6,122.8,3.5,119.6,,
104,exportCameras_2x1g,2,mean,mig,0.0,0.0,7.3,7.3,NA,NA,2.2,2.2,1.5,122.8,2.4,120.4,122.8,3.4,119.5,,
105,exportCameras_3x1g,3,max,mig,0.0,0.0,8.0,8.0,NA,NA,2.4,2.4,1.6,122.8,2.5,121.0,122.8,3.6,119.4,,
106,exportCameras_3x1g,3,mean,mig,0.0,0.0,7.3,7.3,NA,NA,2.2,2.2,1.5,122.8,2.2,120.6,122.8,3.5,119.3,,
107,exportCameras_cpu,7,max,large,0.0,0.0,15.0,15.0,NA,NA,2.4,2.4,1.0,58.9,2.0,57.0,58.9,2.3,56.6,,
108,exportCameras_cpu,7,max,xl,0.0,0.0,8.0,8.0,NA,NA,2.5,2.5,1.6,122.8,2.5,120.5,122.8,3.5,119.5,,
109,exportCameras_cpu,3.5,mean,large,0.0,0.0,13.0,13.0,NA,NA,2.0,2.0,1.0,58.9,1.9,56.9,58.9,2.3,56.6,,
110,exportCameras_cpu,7,mean,xl,0.0,0.0,7.7,7.7,NA,NA,2.3,2.3,1.5,122.8,2.5,120.4,122.8,3.4,119.4,,0.93380934
